Date,Close,Volume,Daily_Return_Pct,Year,Month,DayOfWeek,Quarter
2022-03-16 00:00:00,280.08,84028800.0,4.781,2022,3,2,1
2022-03-17 00:00:00,290.53,66582900.0,3.734,2022,3,3,1
2022-03-18 00:00:00,301.8,100414200.0,3.877,2022,3,4,1
2022-03-21 00:00:00,307.05,81981600.0,1.742,2022,3,0,1
2022-03-22 00:00:00,331.33,105868500.0,7.905,2022,3,1,1
2022-03-23 00:00:00,333.04,120676200.0,0.516,2022,3,2,1
2022-03-24 00:00:00,337.97,68920800.0,1.482,2022,3,3,1
2022-03-25 00:00:00,336.88,62031600.0,-0.323,2022,3,4,1
2022-03-28 00:00:00,363.95,102506100.0,8.035,2022,3,0,1
2022-03-29 00:00:00,366.52,73614900.0,0.708,2022,3,1,1
2022-03-30 00:00:00,364.66,59865000.0,-0.507,2022,3,2,1
2022-03-31 00:00:00,359.2,48992700.0,-1.498,2022,3,3,1
2022-04-01 00:00:00,361.53,54263100.0,0.649,2022,4,4,2
2022-04-04 00:00:00,381.82,82035900.0,5.611,2022,4,0,2
2022-04-05 00:00:00,363.75,80075100.0,-4.731,2022,4,1,2
2022-04-06 00:00:00,348.59,89348400.0,-4.169,2022,4,2,2
2022-04-07 00:00:00,352.42,79447200.0,1.1,2022,4,3,2
2022-04-08 00:00:00,341.83,55013700.0,-3.005,2022,4,4,2
2022-04-11 00:00:00,325.31,59357100.0,-4.833,2022,4,0,2
2022-04-12 00:00:00,328.98,65976000.0,1.129,2022,4,1,2
2022-04-13 00:00:00,340.79,55121100.0,3.589,2022,4,2,2
2022-04-14 00:00:00,328.33,58422300.0,-3.655,2022,4,3,2
2022-04-18 00:00:00,334.76,51715200.0,1.958,2022,4,0,2
2022-04-19 00:00:00,342.72,49847700.0,2.376,2022,4,1,2
2022-04-20 00:00:00,325.73,70711200.0,-4.956,2022,4,2,2
2022-04-21 00:00:00,336.26,105416400.0,3.232,2022,4,3,2
2022-04-22 00:00:00,335.02,69696600.0,-0.37,2022,4,4,2
2022-04-25 00:00:00,332.67,68341200.0,-0.699,2022,4,0,2
2022-04-26 00:00:00,292.14,136133700.0,-12.184,2022,4,1,2
2022-04-27 00:00:00,293.84,76956300.0,0.581,2022,4,2,2
